Age Group,Game Number,Away,Home,Date,Time,Field
U18,45,Carolina Elite Maddaluna,Unity Bridger 2024,6/8,4:45 PM,Champions Park - Field 11
U18,46,Florida Gold Torres HS (Weston),Tampa Mustangs Torres,6/8,4:45 PM,Champions Park - Field 12
U18,48,Atlanta Vipers Gold 18u Colvin,VA Unity Anderson,6/8,4:45 PM,Champions Park - Field 14
U18,49,SFL Intensity - Pascual,Clearwater Bullets Patton 18u,6/8,4:45 PM,Champions Park - Field 15
U18,50,FL Firecrackers Yeary,GA Impact Premier - Maher,6/8,4:45 PM,Champions Park - Field 16
U18,55,Unity Bridger 2024,Windermere Wildfire 18U - Paulson,6/8,6:30 PM,Champions Park - Field 11
U18,56,Tampa Mustangs Torres,LLG DPS Corn,6/8,6:30 PM,Champions Park - Field 12
U18,58,VA Unity Anderson,Wagners FL 18u - Janata,6/8,6:30 PM,Champions Park - Field 14
U18,59,Clearwater Bullets Patton 18u,Florida Gold Lopez/Santana,6/8,6:30 PM,Champions Park - Field 15
U18,60,GA Impact Premier - Maher,Tri-State Thunder Gold,6/8,6:30 PM,Champions Park - Field 16
U18,65,Windermere Wildfire 18U - Paulson,Carolina Elite Maddaluna,6/8,8:15 PM,Champions Park - Field 11
U18,66,LLG DPS Corn,Florida Gold Torres HS (Weston),6/8,8:15 PM,Champions Park - Field 12
U18,68,Wagners FL 18u - Janata,Atlanta Vipers Gold 18u Colvin,6/8,8:15 PM,Champions Park - Field 14
U18,69,Florida Gold Lopez/Santana,SFL Intensity - Pascual,6/8,8:15 PM,Champions Park - Field 15
U18,70,Tri-State Thunder Gold,FL Firecrackers Yeary,6/8,8:15 PM,Champions Park - Field 16
U18,79,EC Bullets 18U Gold - Schnute,Tampa Mustangs Affrunti / Williams,6/9,8:00 AM,Champions Park - Field 12
U18,80,TAMPA MUSTANGS RENE 18U,Team North Carolina (Hinde),6/9,8:00 AM,Champions Park - Field 13
U18,81,Impact - Caymol,Tampa Mustangs Seymour,6/9,8:00 AM,Champions Park - Field 14
U18,95,Tampa Mustangs Affrunti / Williams,Santa Fe Inferno - Mallard,6/9,9:45 AM,Champions Park - Field 12
U18,96,Team North Carolina (Hinde),Top Gun 18 National,6/9,9:45 AM,Champions Park - Field 13
U18,97,Tampa Mustangs Seymour,Team NC Baylog / Tracy,6/9,9:45 AM,Champions Park - Field 14
U18,111,Santa Fe Inferno - Mallard,EC Bullets 18U Gold - Schnute,6/9,11:30 AM,Champions Park - Field 12
U18,112,Top Gun 18 National,TAMPA MUSTANGS RENE 18U,6/9,11:30 AM,Champions Park - Field 13
U18,113,Team NC Baylog / Tracy,Impact - Caymol,6/9,11:30 AM,Champions Park - Field 14
U18,114,Santa Fe Inferno Nowling 18U,Texas Blaze (FL)-Johnson,6/9,11:30 AM,Champions Park - Field 15
U18,115,Florida Future Black,Team NC Huss 18u,6/9,11:30 AM,Champions Park - Field 16
U18,127,Birmingham Thunderbolts 18 Premier,GA Impact Premier - Sampson,6/9,1:15 PM,Champions Park - Field 12
U18,128,Carolina Elite SC Owens,Clearwater Lady Bombers Gold - Mason,6/9,1:15 PM,Champions Park - Field 13
U18,129,Hotshots National ATL,Nationals 18U Batts/Garner,6/9,1:15 PM,Champions Park - Field 14
U18,130,Santa Fe Inferno Nowling 18U,Florida Future Black,6/9,1:15 PM,Champions Park - Field 15
U18,131,Ohio Hawks National 2024 Joseforsky,Rock Gold Manetta 18U,6/9,1:15 PM,Champions Park - Field 16
U18,143,GA Impact Premier - Sampson,Sparks Elite Ross/Stewart,6/9,3:00 PM,Champions Park - Field 12
U18,144,Clearwater Lady Bombers Gold - Mason,Georgia Impact - Hupp,6/9,3:00 PM,Champions Park - Field 13
U18,145,Nationals 18U Batts/Garner,Lady Gators Jackson 16u-Matt,6/9,3:00 PM,Champions Park - Field 14
U18,146,Texas Blaze (FL)-Johnson,Team NC Huss 18u,6/9,3:00 PM,Champions Park - Field 15
U18,147,Rock Gold Manetta 18U,Unity - Betsa,6/9,3:00 PM,Champions Park - Field 16
U18,159,Sparks Elite Ross/Stewart,Birmingham Thunderbolts 18 Premier,6/9,4:45 PM,Champions Park - Field 12
U18,160,Georgia Impact - Hupp,Carolina Elite SC Owens,6/9,4:45 PM,Champions Park - Field 13
U18,161,Lady Gators Jackson 16u-Matt,Hotshots National ATL,6/9,4:45 PM,Champions Park - Field 14
U18,162,Unity - Betsa,Ohio Hawks National 2024 Joseforsky,6/9,4:45 PM,Champions Park - Field 16
U18,45,Carolina Elite Maddaluna,Unity Bridger 2024,6/8,4:45 PM,Champions Park - Field 11
U18,46,Florida Gold Torres HS (Weston),Tampa Mustangs Torres,6/8,4:45 PM,Champions Park - Field 12
U18,48,Atlanta Vipers Gold 18u Colvin,VA Unity Anderson,6/8,4:45 PM,Champions Park - Field 14
U18,49,SFL Intensity - Pascual,Clearwater Bullets Patton 18u,6/8,4:45 PM,Champions Park - Field 15
U18,50,FL Firecrackers Yeary,GA Impact Premier - Maher,6/8,4:45 PM,Champions Park - Field 16
U18,55,Unity Bridger 2024,Windermere Wildfire 18U - Paulson,6/8,6:30 PM,Champions Park - Field 11
U18,56,Tampa Mustangs Torres,LLG DPS Corn,6/8,6:30 PM,Champions Park - Field 12
U18,58,VA Unity Anderson,Wagners FL 18u - Janata,6/8,6:30 PM,Champions Park - Field 14
U18,59,Clearwater Bullets Patton 18u,Florida Gold Lopez/Santana,6/8,6:30 PM,Champions Park - Field 15
U18,60,GA Impact Premier - Maher,Tri-State Thunder Gold,6/8,6:30 PM,Champions Park - Field 16
U18,65,Windermere Wildfire 18U - Paulson,Carolina Elite Maddaluna,6/8,8:15 PM,Champions Park - Field 11
U18,66,LLG DPS Corn,Florida Gold Torres HS (Weston),6/8,8:15 PM,Champions Park - Field 12
U18,68,Wagners FL 18u - Janata,Atlanta Vipers Gold 18u Colvin,6/8,8:15 PM,Champions Park - Field 14
U18,69,Florida Gold Lopez/Santana,SFL Intensity - Pascual,6/8,8:15 PM,Champions Park - Field 15
U18,70,Tri-State Thunder Gold,FL Firecrackers Yeary,6/8,8:15 PM,Champions Park - Field 16
U18,79,EC Bullets 18U Gold - Schnute,Tampa Mustangs Affrunti / Williams,6/9,8:00 AM,Champions Park - Field 12
U18,80,TAMPA MUSTANGS RENE 18U,Team North Carolina (Hinde),6/9,8:00 AM,Champions Park - Field 13
U18,81,Impact - Caymol,Tampa Mustangs Seymour,6/9,8:00 AM,Champions Park - Field 14
U18,95,Tampa Mustangs Affrunti / Williams,Santa Fe Inferno - Mallard,6/9,9:45 AM,Champions Park - Field 12
U18,96,Team North Carolina (Hinde),Top Gun 18 National,6/9,9:45 AM,Champions Park - Field 13
U18,97,Tampa Mustangs Seymour,Team NC Baylog / Tracy,6/9,9:45 AM,Champions Park - Field 14
U18,111,Santa Fe Inferno - Mallard,EC Bullets 18U Gold - Schnute,6/9,11:30 AM,Champions Park - Field 12
U18,112,Top Gun 18 National,TAMPA MUSTANGS RENE 18U,6/9,11:30 AM,Champions Park - Field 13
U18,113,Team NC Baylog / Tracy,Impact - Caymol,6/9,11:30 AM,Champions Park - Field 14
U18,114,Santa Fe Inferno Nowling 18U,Texas Blaze (FL)-Johnson,6/9,11:30 AM,Champions Park - Field 15
U18,115,Florida Future Black,Team NC Huss 18u,6/9,11:30 AM,Champions Park - Field 16
U18,127,Birmingham Thunderbolts 18 Premier,GA Impact Premier - Sampson,6/9,1:15 PM,Champions Park - Field 12
U18,128,Carolina Elite SC Owens,Clearwater Lady Bombers Gold - Mason,6/9,1:15 PM,Champions Park - Field 13
U18,129,Hotshots National ATL,Nationals 18U Batts/Garner,6/9,1:15 PM,Champions Park - Field 14
U18,130,Santa Fe Inferno Nowling 18U,Florida Future Black,6/9,1:15 PM,Champions Park - Field 15
U18,131,Ohio Hawks National 2024 Joseforsky,Rock Gold Manetta 18U,6/9,1:15 PM,Champions Park - Field 16
U18,143,GA Impact Premier - Sampson,Sparks Elite Ross/Stewart,6/9,3:00 PM,Champions Park - Field 12
U18,144,Clearwater Lady Bombers Gold - Mason,Georgia Impact - Hupp,6/9,3:00 PM,Champions Park - Field 13
U18,145,Nationals 18U Batts/Garner,Lady Gators Jackson 16u-Matt,6/9,3:00 PM,Champions Park - Field 14
U18,146,Texas Blaze (FL)-Johnson,Team NC Huss 18u,6/9,3:00 PM,Champions Park - Field 15
U18,147,Rock Gold Manetta 18U,Unity - Betsa,6/9,3:00 PM,Champions Park - Field 16
U18,159,Sparks Elite Ross/Stewart,Birmingham Thunderbolts 18 Premier,6/9,4:45 PM,Champions Park - Field 12
U18,160,Georgia Impact - Hupp,Carolina Elite SC Owens,6/9,4:45 PM,Champions Park - Field 13
U18,161,Lady Gators Jackson 16u-Matt,Hotshots National ATL,6/9,4:45 PM,Champions Park - Field 14
U18,162,Unity - Betsa,Ohio Hawks National 2024 Joseforsky,6/9,4:45 PM,Champions Park - Field 16
U16,53,:Florida Bombers Gold 16U-Gunkel,Lady Dukes Ghent/Blackman,6/8,4:45 PM,Champions Park - Field 7
U16,54,Atlanta Vipers 07- Maldonado,Georgia Impact Bailey,6/8,4:45 PM,Champions Park - Field 8
U16,63,Lady Dukes Ghent/Blackman,Southern Steal 2025 Powell,6/8,6:30 PM,Champions Park - Field 7
U16,64,Georgia Impact Bailey,Team NC-Kobziak,6/8,6:30 PM,Champions Park - Field 8
U16,74,Southern Steal 2025 Powell,:Florida Bombers Gold 16U-Gunkel,6/8,8:15 PM,Champions Park - Field 7
U16,75,Team NC-Kobziak,Atlanta Vipers 07- Maldonado,6/8,8:15 PM,Champions Park - Field 8
U16,77,Rock Gold Premier - de Leon/Manetta,SO CAL ATHLETICS MARINAKIS/JAMES 2026 NATIONAL TEAM,6/9,8:00 AM,Champions Park - Field 10
U16,78,Fury 2025 moyer,Texas Blaze United Robertson 16U,6/9,8:00 AM,Champions Park - Field 11
U16,87,Nationals - 16U - Sars,Team North Carolina Bowman,6/9,8:00 AM,Champions Park - Field 5
U16,88,Impact - Caymol,Tampa Mustangs RT,6/9,8:00 AM,Champions Park - Field 6
U16,89,GA Bombers 16U National,Miami Stingrays 16U - GATOR,6/9,8:00 AM,Champions Park - Field 7
U16,90,EC Bullets Schnute/Bilz,Fury Platinum X-Hutchins/Helton,6/9,8:00 AM,Champions Park - Field 8
U16,91,Clearwater Lady Bombers 16U Gold,Mojo 2025 - Nelson,6/9,8:00 AM,Champions Park - Field 9
U16,93,SO CAL ATHLETICS MARINAKIS/JAMES 2026 NATIONAL TEAM,Stars National Scott-GA 16U,6/9,9:45 AM,Champions Park - Field 10
U16,94,Texas Blaze United Robertson 16U,Windermere Wildfire O’Brien 16u,6/9,9:45 AM,Champions Park - Field 11
U16,103,Team North Carolina Bowman,Top Gun 16 National,6/9,9:45 AM,Champions Park - Field 5
U16,104,Tampa Mustangs RT,TN Thunderbolts 2026 - Woods,6/9,9:45 AM,Champions Park - Field 6
U16,105,Miami Stingrays 16U - GATOR,Unity 16U - Slezak,6/9,9:45 AM,Champions Park - Field 7
U16,106,Fury Platinum X-Hutchins/Helton,LLG Elite,6/9,9:45 AM,Champions Park - Field 8
U16,107,Mojo 2025 - Nelson,Team NC Lilley/Smith,6/9,9:45 AM,Champions Park - Field 9
U16,109,Stars National Scott-GA 16U,Rock Gold Premier - de Leon/Manetta,6/9,11:30 AM,Champions Park - Field 10
U16,110,Windermere Wildfire O’Brien 16u,Fury 2025 moyer,6/9,11:30 AM,Champions Park - Field 11
U16,119,Top Gun 16 National,Nationals - 16U - Sars,6/9,11:30 AM,Champions Park - Field 5
U16,120,TN Thunderbolts 2026 - Woods,Impact - Caymol,6/9,11:30 AM,Champions Park - Field 6
U16,121,Unity 16U - Slezak,GA Bombers 16U National,6/9,11:30 AM,Champions Park - Field 7
U16,122,LLG Elite,EC Bullets Schnute/Bilz,6/9,11:30 AM,Champions Park - Field 8
U16,123,Team NC Lilley/Smith,Clearwater Lady Bombers 16U Gold,6/9,11:30 AM,Champions Park - Field 9
U16,124,Athletics Gold Tamborra 16U Gold,Birmingham Thunderbolts Premier 2026 Chaney,6/9,1:15 PM,Champions Park - Field 1
U16,125,Central Florida Gold - Peterson 16U,Fury Platinum National Davenport,6/9,1:15 PM,Champions Park - Field 10
U16,126,Carolina Elite National 16U Tompkins/Duzan,Fury Premier 2026 - Ventura,6/9,1:15 PM,Champions Park - Field 11
U16,132,Birmingham Thunderbolts Premier 2026 Thompson,GA Impact Taylor,6/9,1:15 PM,Champions Park - Field 2
U16,133,AP Gold 16u - Stewart,Nationals - 16U - Batts/Garner,6/9,1:15 PM,Champions Park - Field 3
U16,134,Athletics Gold Tamborra-Freeman,Rock Gold Manetta 16U,6/9,1:15 PM,Champions Park - Field 4
U16,135,Unity Mayfield/Vega,Impact Gold Jazz,6/9,1:15 PM,Champions Park - Field 5
U16,136,Impact Gold Premier 2025 Warrick,Unity Meadows/Johnson,6/9,1:15 PM,Champions Park - Field 6
U16,137,Fury Platinum X Hutchins 15U,Impact Caymol - Sullivan,6/9,1:15 PM,Champions Park - Field 7
U16,138,Birmingham Thunderbolts Premier 2025 Kemp,Carolina Elite SC Drotar/Genovese,6/9,1:15 PM,Champions Park - Field 8
U16,139,D1vision Softball 16U National,Nationals Garner/Kennedy 16u,6/9,1:15 PM,Champions Park - Field 9
U16,140,Birmingham Thunderbolts Premier 2026 Chaney,NC Challengers Premier Renzi 16U,6/9,3:00 PM,Champions Park - Field 1
U16,141,Fury Platinum National Davenport,So Cal Athletics Marinakis / Kennedy 26 Premier,6/9,3:00 PM,Champions Park - Field 10
U16,142,Fury Premier 2026 - Ventura,Unity Luke 26/27,6/9,3:00 PM,Champions Park - Field 11
U16,148,GA Impact Taylor,Select Fastpitch - Bowers,6/9,3:00 PM,Champions Park - Field 2
U16,149,Nationals - 16U - Batts/Garner,TAMPA MUSTANGS FOWLER 26/27,6/9,3:00 PM,Champions Park - Field 3
U16,150,Rock Gold Manetta 16U,SoCal Athletics Marinakis/Ammon National 2025,6/9,3:00 PM,Champions Park - Field 4
U16,151,Impact Gold Jazz,Team NC Huffman 26/27,6/9,3:00 PM,Champions Park - Field 5
U16,152,Unity Meadows/Johnson,Mojo - Wade 16U 25/26,6/9,3:00 PM,Champions Park - Field 6
U16,153,Impact Caymol - Sullivan,Team Mustangs Langston,6/9,3:00 PM,Champions Park - Field 7
U16,154,Carolina Elite SC Drotar/Genovese,Georgia Impact Holcombe,6/9,3:00 PM,Champions Park - Field 8
