Age Group,Game Number,Away,Home,Date,Time,Field
U16,155,Nationals Garner/Kennedy 16u,Tennessee Mojo 2025-Gregory,6/9,3:00 PM,Champions Park - Field 9
U16,156,NC Challengers Premier Renzi 16U,Athletics Gold Tamborra 16U Gold,6/9,4:45 PM,Champions Park - Field 1
U16,157,So Cal Athletics Marinakis / Kennedy 26 Premier,Central Florida Gold - Peterson 16U,6/9,4:45 PM,Champions Park - Field 10
U16,158,Unity Luke 26/27,Carolina Elite National 16U Tompkins/Duzan,6/9,4:45 PM,Champions Park - Field 11
U16,163,Select Fastpitch - Bowers,Birmingham Thunderbolts Premier 2026 Thompson,6/9,4:45 PM,Champions Park - Field 2
U16,164,TAMPA MUSTANGS FOWLER 26/27,AP Gold 16u - Stewart,6/9,4:45 PM,Champions Park - Field 3
U16,165,SoCal Athletics Marinakis/Ammon National 2025,Athletics Gold Tamborra-Freeman,6/9,4:45 PM,Champions Park - Field 4
U16,166,Team NC Huffman 26/27,Unity Mayfield/Vega,6/9,4:45 PM,Champions Park - Field 5
U16,167,Mojo - Wade 16U 25/26,Impact Gold Premier 2025 Warrick,6/9,4:45 PM,Champions Park - Field 6
U16,168,Team Mustangs Langston,Fury Platinum X Hutchins 15U,6/9,4:45 PM,Champions Park - Field 7
U16,169,Georgia Impact Holcombe,Birmingham Thunderbolts Premier 2025 Kemp,6/9,4:45 PM,Champions Park - Field 8
U16,170,Tennessee Mojo 2025-Gregory,D1vision Softball 16U National,6/9,4:45 PM,Champions Park - Field 9
U16,53,:Florida Bombers Gold 16U-Gunkel,Lady Dukes Ghent/Blackman,6/8,4:45 PM,Champions Park - Field 7
U16,54,Atlanta Vipers 07- Maldonado,Georgia Impact Bailey,6/8,4:45 PM,Champions Park - Field 8
U16,63,Lady Dukes Ghent/Blackman,Southern Steal 2025 Powell,6/8,6:30 PM,Champions Park - Field 7
U16,64,Georgia Impact Bailey,Team NC-Kobziak,6/8,6:30 PM,Champions Park - Field 8
U16,74,Southern Steal 2025 Powell,:Florida Bombers Gold 16U-Gunkel,6/8,8:15 PM,Champions Park - Field 7
U16,75,Team NC-Kobziak,Atlanta Vipers 07- Maldonado,6/8,8:15 PM,Champions Park - Field 8
U16,77,Rock Gold Premier - de Leon/Manetta,SO CAL ATHLETICS MARINAKIS/JAMES 2026 NATIONAL TEAM,6/9,8:00 AM,Champions Park - Field 10
U16,78,Fury 2025 moyer,Texas Blaze United Robertson 16U,6/9,8:00 AM,Champions Park - Field 11
U16,87,Nationals - 16U - Sars,Team North Carolina Bowman,6/9,8:00 AM,Champions Park - Field 5
U16,88,Impact - Caymol,Tampa Mustangs RT,6/9,8:00 AM,Champions Park - Field 6
U16,89,GA Bombers 16U National,Miami Stingrays 16U - GATOR,6/9,8:00 AM,Champions Park - Field 7
U16,90,EC Bullets Schnute/Bilz,Fury Platinum X-Hutchins/Helton,6/9,8:00 AM,Champions Park - Field 8
U16,91,Clearwater Lady Bombers 16U Gold,Mojo 2025 - Nelson,6/9,8:00 AM,Champions Park - Field 9
U16,93,SO CAL ATHLETICS MARINAKIS/JAMES 2026 NATIONAL TEAM,Stars National Scott-GA 16U,6/9,9:45 AM,Champions Park - Field 10
U16,94,Texas Blaze United Robertson 16U,Windermere Wildfire O’Brien 16u,6/9,9:45 AM,Champions Park - Field 11
U16,103,Team North Carolina Bowman,Top Gun 16 National,6/9,9:45 AM,Champions Park - Field 5
U16,104,Tampa Mustangs RT,TN Thunderbolts 2026 - Woods,6/9,9:45 AM,Champions Park - Field 6
U16,105,Miami Stingrays 16U - GATOR,Unity 16U - Slezak,6/9,9:45 AM,Champions Park - Field 7
U16,106,Fury Platinum X-Hutchins/Helton,LLG Elite,6/9,9:45 AM,Champions Park - Field 8
U16,107,Mojo 2025 - Nelson,Team NC Lilley/Smith,6/9,9:45 AM,Champions Park - Field 9
U16,109,Stars National Scott-GA 16U,Rock Gold Premier - de Leon/Manetta,6/9,11:30 AM,Champions Park - Field 10
U16,110,Windermere Wildfire O’Brien 16u,Fury 2025 moyer,6/9,11:30 AM,Champions Park - Field 11
U16,119,Top Gun 16 National,Nationals - 16U - Sars,6/9,11:30 AM,Champions Park - Field 5
U16,120,TN Thunderbolts 2026 - Woods,Impact - Caymol,6/9,11:30 AM,Champions Park - Field 6
U16,121,Unity 16U - Slezak,GA Bombers 16U National,6/9,11:30 AM,Champions Park - Field 7
U16,122,LLG Elite,EC Bullets Schnute/Bilz,6/9,11:30 AM,Champions Park - Field 8
U16,123,Team NC Lilley/Smith,Clearwater Lady Bombers 16U Gold,6/9,11:30 AM,Champions Park - Field 9
U16,124,Athletics Gold Tamborra 16U Gold,Birmingham Thunderbolts Premier 2026 Chaney,6/9,1:15 PM,Champions Park - Field 1
U16,125,Central Florida Gold - Peterson 16U,Fury Platinum National Davenport,6/9,1:15 PM,Champions Park - Field 10
U16,126,Carolina Elite National 16U Tompkins/Duzan,Fury Premier 2026 - Ventura,6/9,1:15 PM,Champions Park - Field 11
U16,132,Birmingham Thunderbolts Premier 2026 Thompson,GA Impact Taylor,6/9,1:15 PM,Champions Park - Field 2
U16,133,AP Gold 16u - Stewart,Nationals - 16U - Batts/Garner,6/9,1:15 PM,Champions Park - Field 3
U16,134,Athletics Gold Tamborra-Freeman,Rock Gold Manetta 16U,6/9,1:15 PM,Champions Park - Field 4
U16,135,Unity Mayfield/Vega,Impact Gold Jazz,6/9,1:15 PM,Champions Park - Field 5
U16,136,Impact Gold Premier 2025 Warrick,Unity Meadows/Johnson,6/9,1:15 PM,Champions Park - Field 6
U16,137,Fury Platinum X Hutchins 15U,Impact Caymol - Sullivan,6/9,1:15 PM,Champions Park - Field 7
U16,138,Birmingham Thunderbolts Premier 2025 Kemp,Carolina Elite SC Drotar/Genovese,6/9,1:15 PM,Champions Park - Field 8
U16,139,D1vision Softball 16U National,Nationals Garner/Kennedy 16u,6/9,1:15 PM,Champions Park - Field 9
U16,140,Birmingham Thunderbolts Premier 2026 Chaney,NC Challengers Premier Renzi 16U,6/9,3:00 PM,Champions Park - Field 1
U16,141,Fury Platinum National Davenport,So Cal Athletics Marinakis / Kennedy 26 Premier,6/9,3:00 PM,Champions Park - Field 10
U16,142,Fury Premier 2026 - Ventura,Unity Luke 26/27,6/9,3:00 PM,Champions Park - Field 11
U16,148,GA Impact Taylor,Select Fastpitch - Bowers,6/9,3:00 PM,Champions Park - Field 2
U16,149,Nationals - 16U - Batts/Garner,TAMPA MUSTANGS FOWLER 26/27,6/9,3:00 PM,Champions Park - Field 3
U16,150,Rock Gold Manetta 16U,SoCal Athletics Marinakis/Ammon National 2025,6/9,3:00 PM,Champions Park - Field 4
U16,151,Impact Gold Jazz,Team NC Huffman 26/27,6/9,3:00 PM,Champions Park - Field 5
U16,152,Unity Meadows/Johnson,Mojo - Wade 16U 25/26,6/9,3:00 PM,Champions Park - Field 6
U16,153,Impact Caymol - Sullivan,Team Mustangs Langston,6/9,3:00 PM,Champions Park - Field 7
U16,154,Carolina Elite SC Drotar/Genovese,Georgia Impact Holcombe,6/9,3:00 PM,Champions Park - Field 8
U16,155,Nationals Garner/Kennedy 16u,Tennessee Mojo 2025-Gregory,6/9,3:00 PM,Champions Park - Field 9
U16,156,NC Challengers Premier Renzi 16U,Athletics Gold Tamborra 16U Gold,6/9,4:45 PM,Champions Park - Field 1
U16,157,So Cal Athletics Marinakis / Kennedy 26 Premier,Central Florida Gold - Peterson 16U,6/9,4:45 PM,Champions Park - Field 10
U16,158,Unity Luke 26/27,Carolina Elite National 16U Tompkins/Duzan,6/9,4:45 PM,Champions Park - Field 11
U16,163,Select Fastpitch - Bowers,Birmingham Thunderbolts Premier 2026 Thompson,6/9,4:45 PM,Champions Park - Field 2
U16,164,TAMPA MUSTANGS FOWLER 26/27,AP Gold 16u - Stewart,6/9,4:45 PM,Champions Park - Field 3
U16,165,SoCal Athletics Marinakis/Ammon National 2025,Athletics Gold Tamborra-Freeman,6/9,4:45 PM,Champions Park - Field 4
U16,166,Team NC Huffman 26/27,Unity Mayfield/Vega,6/9,4:45 PM,Champions Park - Field 5
U16,167,Mojo - Wade 16U 25/26,Impact Gold Premier 2025 Warrick,6/9,4:45 PM,Champions Park - Field 6
U16,168,Team Mustangs Langston,Fury Platinum X Hutchins 15U,6/9,4:45 PM,Champions Park - Field 7
U16,169,Georgia Impact Holcombe,Birmingham Thunderbolts Premier 2025 Kemp,6/9,4:45 PM,Champions Park - Field 8
U16,170,Tennessee Mojo 2025-Gregory,D1vision Softball 16U National,6/9,4:45 PM,Champions Park - Field 9
U14,47,Fury Premier 2027 Robinson,NC Challengers Premier Renzi 14U,6/8,4:45 PM,Champions Park - Field 13
U14,51,LLG Futures SC,South Florida Intensity KOD - Pascual,6/8,4:45 PM,Champions Park - Field 2
U14,52,Atlanta Vipers Gold - 2010 - Lynch,Firecrackers Arkansas 14U/Corbitt,6/8,4:45 PM,Champions Park - Field 3
U14,57,NC Challengers Premier Renzi 14U,Unity 14U Amsler/Johnson,6/8,6:30 PM,Champions Park - Field 13
U14,61,Tampa Mustangs - BK,Unity Mayfield,6/8,6:30 PM,Champions Park - Field 2
U14,62,Firecrackers Arkansas 14U/Corbitt,Rock Gold 14U Giddens/Manetta,6/8,6:30 PM,Champions Park - Field 3
U14,67,Unity 14U Amsler/Johnson,Fury Premier 2027 Robinson,6/8,8:15 PM,Champions Park - Field 13
U14,71,Unity Mayfield,LLG Futures SC,6/8,8:15 PM,Champions Park - Field 2
U14,72,Rock Gold 14U Giddens/Manetta,Atlanta Vipers Gold - 2010 - Lynch,6/8,8:15 PM,Champions Park - Field 3
U14,73,South Florida Intensity KOD - Pascual,Tampa Mustangs - BK,6/8,8:15 PM,Champions Park - Field 4
U14,76,Ahtletics Gold Tamborra/Hamilton,Birmingham Thunderbolts Premier 2027-Alford,6/9,8:00 AM,Champions Park - Field 1
U14,82,Mojo RWZ,Santa Fe Inferno 09 Donalson,6/9,8:00 AM,Champions Park - Field 15
U14,83,Team North Carolina Tucker/Benson,Tennessee Thunderbolts Premier 2027,6/9,8:00 AM,Champions Park - Field 16
U14,84,Birmingham Thunderbolts Premier 2028 Brashears,Texas Blaze 14U Gold - Bliss,6/9,8:00 AM,Champions Park - Field 2
U14,85,Frost Falcons 09,LLG Futures NC,6/9,8:00 AM,Champions Park - Field 3
U14,86,Fury Platinum X-Pickett,SoCal Athletics Marinakis/Causey Premier 2027,6/9,8:00 AM,Champions Park - Field 4
U14,92,Birmingham Thunderbolts Premier 2027-Alford,Tampa Mustangs 09 Pynes,6/9,9:45 AM,Champions Park - Field 1
U14,98,Mojo RWZ,Team North Carolina Tucker/Benson,6/9,9:45 AM,Champions Park - Field 15
U14,99,Santa Fe Inferno 09 Donalson,Tennessee Thunderbolts Premier 2027,6/9,9:45 AM,Champions Park - Field 16
U14,100,Texas Blaze 14U Gold - Bliss,Georgia Impact Premier O'Neal 09,6/9,9:45 AM,Champions Park - Field 2
U14,101,LLG Futures NC,Santa fe inferno Humphrey 14u,6/9,9:45 AM,Champions Park - Field 3
U14,102,SoCal Athletics Marinakis/Causey Premier 2027,Santa Fe Inferno Young,6/9,9:45 AM,Champions Park - Field 4
U14,108,Tampa Mustangs 09 Pynes,Ahtletics Gold Tamborra/Hamilton,6/9,11:30 AM,Champions Park - Field 1
U14,116,Georgia Impact Premier O'Neal 09,Birmingham Thunderbolts Premier 2028 Brashears,6/9,11:30 AM,Champions Park - Field 2
U14,117,Santa fe inferno Humphrey 14u,Frost Falcons 09,6/9,11:30 AM,Champions Park - Field 3
U14,118,Santa Fe Inferno Young,Fury Platinum X-Pickett,6/9,11:30 AM,Champions Park - Field 4
U14,47,Fury Premier 2027 Robinson,NC Challengers Premier Renzi 14U,6/8,4:45 PM,Champions Park - Field 13
U14,51,LLG Futures SC,South Florida Intensity KOD - Pascual,6/8,4:45 PM,Champions Park - Field 2
U14,52,Atlanta Vipers Gold - 2010 - Lynch,Firecrackers Arkansas 14U/Corbitt,6/8,4:45 PM,Champions Park - Field 3
U14,57,NC Challengers Premier Renzi 14U,Unity 14U Amsler/Johnson,6/8,6:30 PM,Champions Park - Field 13
U14,61,Tampa Mustangs - BK,Unity Mayfield,6/8,6:30 PM,Champions Park - Field 2
U14,62,Firecrackers Arkansas 14U/Corbitt,Rock Gold 14U Giddens/Manetta,6/8,6:30 PM,Champions Park - Field 3
U14,67,Unity 14U Amsler/Johnson,Fury Premier 2027 Robinson,6/8,8:15 PM,Champions Park - Field 13
U14,71,Unity Mayfield,LLG Futures SC,6/8,8:15 PM,Champions Park - Field 2
U14,72,Rock Gold 14U Giddens/Manetta,Atlanta Vipers Gold - 2010 - Lynch,6/8,8:15 PM,Champions Park - Field 3
U14,73,South Florida Intensity KOD - Pascual,Tampa Mustangs - BK,6/8,8:15 PM,Champions Park - Field 4
U14,76,Ahtletics Gold Tamborra/Hamilton,Birmingham Thunderbolts Premier 2027-Alford,6/9,8:00 AM,Champions Park - Field 1
U14,82,Mojo RWZ,Santa Fe Inferno 09 Donalson,6/9,8:00 AM,Champions Park - Field 15
U14,83,Team North Carolina Tucker/Benson,Tennessee Thunderbolts Premier 2027,6/9,8:00 AM,Champions Park - Field 16
U14,84,Birmingham Thunderbolts Premier 2028 Brashears,Texas Blaze 14U Gold - Bliss,6/9,8:00 AM,Champions Park - Field 2
U14,85,Frost Falcons 09,LLG Futures NC,6/9,8:00 AM,Champions Park - Field 3
U14,86,Fury Platinum X-Pickett,SoCal Athletics Marinakis/Causey Premier 2027,6/9,8:00 AM,Champions Park - Field 4
U14,92,Birmingham Thunderbolts Premier 2027-Alford,Tampa Mustangs 09 Pynes,6/9,9:45 AM,Champions Park - Field 1
U14,98,Mojo RWZ,Team North Carolina Tucker/Benson,6/9,9:45 AM,Champions Park - Field 15
U14,99,Santa Fe Inferno 09 Donalson,Tennessee Thunderbolts Premier 2027,6/9,9:45 AM,Champions Park - Field 16
U14,100,Texas Blaze 14U Gold - Bliss,Georgia Impact Premier O'Neal 09,6/9,9:45 AM,Champions Park - Field 2
U14,101,LLG Futures NC,Santa fe inferno Humphrey 14u,6/9,9:45 AM,Champions Park - Field 3
U14,102,SoCal Athletics Marinakis/Causey Premier 2027,Santa Fe Inferno Young,6/9,9:45 AM,Champions Park - Field 4
U14,108,Tampa Mustangs 09 Pynes,Ahtletics Gold Tamborra/Hamilton,6/9,11:30 AM,Champions Park - Field 1
U14,116,Georgia Impact Premier O'Neal 09,Birmingham Thunderbolts Premier 2028 Brashears,6/9,11:30 AM,Champions Park - Field 2
U14,117,Santa fe inferno Humphrey 14u,Frost Falcons 09,6/9,11:30 AM,Champions Park - Field 3
U14,118,Santa Fe Inferno Young,Fury Platinum X-Pickett,6/9,11:30 AM,Champions Park - Field 4
